```csv
freelancer_ID,name,gender,age,country,language,primary_skill,years_of_experience,hourly_rate_usd,rating,is_active,client_satisfaction
FL250024,Melanie Carter,F,51,South Korea,Korean,Machine Learning,15,50,1.3,1,100
FL250025,Jennifer Martin,F,54,Indonesia,Indonesian,Machine Learning,13,75,2.9,,92
FL250026,Anna Mccann,F,22,South Korea,Korean,DevOps,0,30,1.2,1,70
FL250027,Marissa Bass,F,34,Japan,Japanese,Blockchain Development,8,20,0,1,89
FL250028,Alexis Day,F,36,Russia,Russian,Graphic Design,11,,1.8,1,86
FL250029,Megan Jones,F,47,Canada,English,AI,22,30,1.3,0,62
FL250030,Lori Smith,F,41,Netherlands,Dutch,Data Analysis,14,75,1.2,0,
FL250031,Eric Carpenter,M,22,Netherlands,Dutch,DevOps,4,,1,1,
FL250032,Timothy Daniels,M,38,France,French,Machine Learning,19,100,4.2,0,68
FL250033,Robert Nelson,M,46,Egypt,Arabic,AI,9,20,1.4,1,76
FL250034,Michael Anderson,M,,South Korea,Korean,AI,9,40,2.4,1,82
FL250035,Jessica Snyder,F,54,United States,English,Web Development,32,75,1,1,81
FL250036,Emily Daniels,F,52,South Korea,Korean,Web Development,28,20,,0,
FL250037,Jamie Ramirez,F,42,Japan,Japanese,Mobile Apps,6,40,,0,63
FL250038,Amy Harrison,F,29,Netherlands,Dutch,Graphic Design,10,40,2.2,0,67
FL250039,Melinda White,F,42,South Africa,Afrikaans,Mobile Apps,23,50,3.2,1,
FL250040,James Hernandez,M,60,Japan,Japanese,Web Development,13,20,3.6,0,80
FL250041,Angelica Rogers,F,59,United Kingdom,English,AI,3,50,0,0,
FL250042,Savannah Williams,F,21,Canada,English,Web Development,0,30,2.7,1,84
FL250043,Kaitlyn Schmidt,F,35,Germany,German,DevOps,10,50,0,0,
FL250044,Jason Singh,M,41,United Kingdom,English,Data Analysis,,20,2.8,1,63
FL250045,Michelle Ramirez,F,51,Netherlands,Dutch,Machine Learning,23,20,2.5,0,80
FL250046,James Brown,M,41,South Africa,Afrikaans,Web Development,9,75,4.9,1,74
FL250047,Mrs. Samantha Simmons,F,47,Egypt,Arabic,DevOps,15,30,4.5,1,85
FL250048,Chase Mason,M,25,China,Mandarin,Graphic Design,4,50,2.7,0,77
FL250049,Dominique Ward,F,25,Mexico,Spanish,Mobile Apps,7,20,1.9,0,
FL250050,Lance Griffin,M,29,Netherlands,Dutch,UI/UX Design,1,20,1.4,1,63
FL250051,Julie Burgess,F,23,Argentina,Spanish,Cybersecurity,0,75,1.9,1,79
FL250052,Don Scott,M,31,France,French,Data Analysis,8,50,3.4,0,
FL250053,Kyle Atkinson,M,51,Germany,German,Machine Learning,33,75,3.3,,68
FL250054,Jimmy Hogan,M,,Spain,Spanish,UI/UX Design,1,30,0,0,68
FL250055,Jennifer Mcintyre,F,29,Turkey,Turkish,Cybersecurity,11,100,2.3,1,72
FL250056,Larry Simpson,M,50,United Kingdom,English,AI,15,,2,1,65
FL250057,Laura Price,F,26,United Kingdom,English,DevOps,8,50,1.3,0,76
FL250058,Mark Wright,M,38,Canada,English,AI,17,40,4,1,90
FL250059,Samantha Mcdaniel,F,23,India,Hindi,Mobile Apps,,75,3.6,1,65
FL250060,Barbara Foster,F,51,South Africa,Afrikaans,DevOps,28,40,3.9,0,63
FL250061,Courtney Tran,F,51,Indonesia,Indonesian,AI,33,75,0,1,
FL250062,Eddie Todd,M,47,Germany,German,AI,18,75,0,0,
FL250063,Christine Johnson,F,34,Russia,Russian,UI/UX Design,16,20,2.3,1,93
FL250064,Leah Phelps,F,58,Indonesia,Indonesian,Data Analysis,35,50,4.7,0,70
FL250065,Rebekah Williams,F,50,Russia,Russian,AI,14,,3.5,1,83
FL250066,Crystal Wilson,F,34,Spain,Spanish,Web Development,12,40,2.4,1,64
FL250067,Ashley Cordova,F,45,Brazil,Portuguese,AI,11,75,4,0,100
FL250068,Vicki Kelly,F,55,Brazil,Portuguese,Web Development,0,40,0,1,
FL250069,Corey Warren,M,,Argentina,Spanish,UI/UX Design,6,100,1.5,0,
FL250070,Gina Thompson,F,60,China,Mandarin,UI/UX Design,38,20,2,0,71
FL250071,Yvonne Berg,F,33,South Africa,Afrikaans,Mobile Apps,11,,,1,84
FL250072,Thomas Miller,M,60,Italy,Italian,DevOps,13,50,1,0,
FL250073,Nicholas Burton,M,40,United States,English,Web Development,9,100,4.5,1,69
FL250074,Jorge Riley,M,59,Australia,English,Blockchain Development,4,,1.9,0,88
FL250075,Melvin Harris,M,36,Italy,Italian,Machine Learning,14,100,3.7,0,
FL250076,Jeremy Meyer,M,32,India,Hindi,Data Analysis,,30,1.9,1,96
FL250077,Timothy Lee,M,59,Australia,English,AI,9,75,4,1,96
FL250078,Diana Bautista,F,54,Spain,Spanish,DevOps,32,40,1.8,0,
FL250079,Leslie Rodriguez,F,37,Canada,English,Graphic Design,9,,0,1,89
FL250080,Noah Wiggins,M,54,India,Hindi,Machine Learning,21,100,4.6,0,
FL250081,Bridget Williams,F,33,Argentina,Spanish,UI/UX Design,12,100,3.6,0,63
FL250082,Veronica Baker,F,25,Egypt,Arabic,Web Development,7,40,4.4,,81
FL250083,Andrew Avila,M,,China,Mandarin,DevOps,3,40,4.6,0,74
FL250084,Michael Roberson,M,35,South Korea,Korean,Web Development,5,75,3.2,0,72
FL250085,Austin Jenkins,M,59,South Korea,Korean,AI,30,40,0,1,
FL250086,Brenda Green,F,21,China,Mandarin,DevOps,2,100,2.6,1,85
FL250087,Samuel Pierce,M,25,United States,English,Mobile Apps,2,75,3.7,0,
FL250088,Briana Smith,F,38,Mexico,Spanish,Web Development,19,75,2.3,0,61
FL250089,Ronald Barrett,M,57,Russia,Russian,AI,16,100,3.1,0,
FL250090,Matthew Smith,M,32,India,Hindi,Mobile Apps,10,20,2.4,0,86
FL250091,Logan Huang,M,21,Italy,Italian,DevOps,2,100,1.6,1,97
FL250092,Miranda Hutchinson,F,57,Canada,English,Cybersecurity,18,50,2.4,1,63
FL250093,Paul Richardson,M,53,China,Mandarin,UI/UX Design,21,100,,1,97
FL250094,Jose Jones,M,35,Russia,Russian,Blockchain Development,3,30,3.8,1,81
FL250095,Denise Smith,F,54,China,Mandarin,Machine Learning,17,20,1.7,0,69
FL250096,Shelby Mcmahon,F,36,Italy,Italian,UI/UX Design,0,20,1.3,1,64
FL250097,Bethany Wright,F,49,Spain,Spanish,Cybersecurity,25,50,5,0,77
FL250098,David Ortiz,M,37,United States,English,Blockchain Development,17,20,3.3,0,96
```
