freelancer_ID,name,gender,age,country,language,primary_skill,years_of_experience,hourly_rate (USD),rating,is_active,client_satisfaction
FL250022,Samuel Sanford,m,51,Japan,Japanese,DevOps,,,2.4,N,69%
FL250023,Cesar Greene,m,51,Brazil,Portuguese,Cybersecurity,21,USD 30,4.7,N,
FL250024,Melanie Carter,female,51,South Korea,Korean,Machine Learning,15,$50,1.3,1,100%
FL250025,Jennifer Martin,f,54,Indonesia,Indonesian,Machine Learning,13,75,2.9,,92
FL250026,Anna Mccann,FEMALE,22,South Korea,Korean,DevOps,0,USD 30,1.2,1,70%
FL250027,Marissa Bass,female,34,Japan,Japanese,Blockchain Development,8,$20,0,TRUE,89%
FL250028,Alexis Day,Female,36,Russia,Russian,Graphic Design,11,,1.8,Y,86%
FL250029,Megan Jones,female,47,Canada,English,AI,22,30,1.3,0,62%
FL250030,Lori Smith,FEMALE,41,Netherlands,Dutch,Data Analysis,14,USD 75,1.2,0,
FL250031,Eric Carpenter,Male,22,Netherlands,Dutch,DevOps,4,,1,yes,
FL250032,Timothy Daniels,Male,38,France,French,Machine Learning,19,USD 100,4.2,N,68%
FL250033,Robert Nelson,M,46,Egypt,Arabic,AI,9,20,1.4,TRUE,76%
FL250034,Michael Anderson,male,,South Korea,Korean,AI,9,40,2.4,yes,82
FL250035,Jessica Snyder,FEMALE,54,United States,English,Web Development,32,75,1,yes,81%
FL250036,Emily Daniels,female,52,South Korea,Korean,Web Development,28,$20,,0,
FL250037,Jamie Ramirez,f,42,Japan,Japanese,Mobile Apps,6,40,,0,63%
FL250038,Amy Harrison,F,29,Netherlands,Dutch,Graphic Design,10,40,2.2,N,67%
FL250039,Melinda White,F,42,South Africa,Afrikaans,Mobile Apps,23,50,3.2,yes,
FL250040,James Hernandez,Male,60,Japan,Japanese,Web Development,13,$20,3.6,0,80%
FL250041,Angelica Rogers,Female,59,United Kingdom,English,AI,3,USD 50,0,no,
FL250042,Savannah Williams,Female,21,Canada,English,Web Development,0,30,2.7,1,84%
FL250043,Kaitlyn Schmidt,Female,35,Germany,German,DevOps,10,$50,0,no,
FL250044,Jason Singh,male,41,United Kingdom,English,Data Analysis,,20,2.8,TRUE,63%
FL250045,Michelle Ramirez,Female,51,Netherlands,Dutch,Machine Learning,23,20,2.5,FALSE,80%
FL250046,James Brown,male,41,South Africa,Afrikaans,Web Development,9,$75,4.9,1,74%
FL250047,Mrs. Samantha Simmons,Female,47,Egypt,Arabic,DevOps,15,USD 30,4.5,1,85%
FL250048,Chase Mason,male,25,China,Mandarin,Graphic Design,4,50,2.7,N,77%
FL250049,Dominique Ward,F,25,Mexico,Spanish,Mobile Apps,7,20,1.9,0,
FL250050,Lance Griffin,m,29,Netherlands,Dutch,UI/UX Design,1,20,1.4,1,63%
FL250051,Julie Burgess,FEMALE,23,Argentina,Spanish,Cybersecurity,0,75,1.9,TRUE,79%
FL250052,Don Scott,male,31,France,French,Data Analysis,8,50,3.4,0,
FL250053,Kyle Atkinson,Male,51,Germany,German,Machine Learning,33,75,3.3,,68%
FL250054,Jimmy Hogan,m,,Spain,Spanish,UI/UX Design,1,30,0,0,68%
FL250055,Jennifer Mcintyre,f,29,Turkey,Turkish,Cybersecurity,11,100,2.3,TRUE,72%
FL250056,Larry Simpson,m,50,United Kingdom,English,AI,15,,2,yes,65%
FL250057,Laura Price,f,26,United Kingdom,English,DevOps,8,50,1.3,FALSE,76%
FL250058,Mark Wright,Male,38,Canada,English,AI,17,USD 40,4,TRUE,90%
FL250059,Samantha Mcdaniel,FEMALE,23,India,Hindi,Mobile Apps,,75,3.6,1,65%
FL250060,Barbara Foster,Female,51,South Africa,Afrikaans,DevOps,28,40,3.9,0,63%
FL250061,Courtney Tran,F,51,Indonesia,Indonesian,AI,33,$75,0,TRUE,
FL250062,Eddie Todd,Male,47,Germany,German,AI,18,75,0,0,
FL250063,Christine Johnson,Female,34,Russia,Russian,UI/UX Design,16,$20,2.3,yes,93%
FL250064,Leah Phelps,f,58,Indonesia,Indonesian,Data Analysis,35,USD 50,4.7,no,70%
FL250065,Rebekah Williams,F,50,Russia,Russian,AI,14,,3.5,Y,83%
FL250066,Crystal Wilson,FEMALE,34,Spain,Spanish,Web Development,12,40,2.4,1,64
FL250067,Ashley Cordova,Female,45,Brazil,Portuguese,AI,11,USD 75,4,N,100%
FL250068,Vicki Kelly,FEMALE,55,Brazil,Portuguese,Web Development,0,$40,0,TRUE,
FL250069,Corey Warren,m,,Argentina,Spanish,UI/UX Design,6,100,1.5,FALSE,
FL250070,Gina Thompson,FEMALE,60,China,Mandarin,UI/UX Design,38,$20,2,no,71%
FL250071,Yvonne Berg,f,33,South Africa,Afrikaans,Mobile Apps,11,,,yes,84%
FL250072,Thomas Miller,M,60,Italy,Italian,DevOps,13,USD 50,1,FALSE,
FL250073,Nicholas Burton,MALE,40,United States,English,Web Development,9,$100,4.5,yes,69%
FL250074,Jorge Riley,Male,59,Australia,English,Blockchain Development,4,,1.9,FALSE,88
FL250075,Melvin Harris,M,36,Italy,Italian,Machine Learning,14,$100,3.7,0,
FL250076,Jeremy Meyer,Male,32,India,Hindi,Data Analysis,,30,1.9,TRUE,96%
FL250077,Timothy Lee,male,59,Australia,English,AI,9,USD 75,4,1,96
FL250078,Diana Bautista,F,54,Spain,Spanish,DevOps,32,USD 40,1.8,N,
FL250079,Leslie Rodriguez,f,37,Canada,English,Graphic Design,9,,0,1,89%
FL250080,Noah Wiggins,MALE,54,India,Hindi,Machine Learning,21,$100,4.6,FALSE,
FL250081,Bridget Williams,Female,33,Argentina,Spanish,UI/UX Design,12,100,3.6,0,63%
FL250082,Veronica Baker,f,25,Egypt,Arabic,Web Development,7,USD 40,4.4,,81
FL250083,Andrew Avila,Male,,China,Mandarin,DevOps,3,40,4.6,N,74%
FL250084,Michael Roberson,male,35,South Korea,Korean,Web Development,5,$75,3.2,FALSE,72%
FL250085,Austin Jenkins,Male,59,South Korea,Korean,AI,30,$40,0,TRUE,
FL250086,Brenda Green,female,21,China,Mandarin,DevOps,2,100,2.6,Y,85%
FL250087,Samuel Pierce,M,25,United States,English,Mobile Apps,2,$75,3.7,N,
FL250088,Briana Smith,f,38,Mexico,Spanish,Web Development,19,75,2.3,FALSE,61%
FL250089,Ronald Barrett,Male,57,Russia,Russian,AI,16,100,3.1,FALSE,
FL250090,Matthew Smith,m,32,India,Hindi,Mobile Apps,10,$20,2.4,0,86%
FL250091,Logan Huang,male,21,Italy,Italian,DevOps,2,USD 100,1.6,yes,97%
FL250092,Miranda Hutchinson,Female,57,Canada,English,Cybersecurity,18,50,2.4,1,63%
FL250093,Paul Richardson,male,53,China,Mandarin,UI/UX Design,21,USD 100,,Y,97%
FL250094,Jose Jones,M,35,Russia,Russian,Blockchain Development,3,USD 30,3.8,yes,81%
FL250095,Denise Smith,f,54,China,Mandarin,Machine Learning,17,20,1.7,0,69%
FL250096,Shelby Mcmahon,FEMALE,36,Italy,Italian,UI/UX Design,0,20,1.3,Y,64%
FL250097,Bethany Wright,f,49,Spain,Spanish,Cybersecurity,25,50,5,N,77%
FL250098,David Ortiz,Male,37,United States,English,Blockchain Development,17,20,3.3,0,96
