freelancer_ID,name,gender,age,country,language,primary_skill,years_of_experience,hourly_rate_usd,rating,is_active,client_satisfaction
FL250079,Leslie Rodriguez,Female,37,Canada,English,Graphic Design,9,-1.0,0.0,True,0.89
FL250080,Noah Wiggins,Male,54,India,Hindi,Machine Learning,21,100.0,4.6,False,-1
FL250081,Bridget Williams,Female,33,Argentina,Spanish,UI/UX Design,12,100.0,3.6,False,0.63
FL250082,Veronica Baker,Female,25,Egypt,Arabic,Web Development,7,40.0,4.4,False,0.81
FL250083,Andrew Avila,Male,-1,China,Mandarin,DevOps,3,40.0,4.6,False,0.74
FL250084,Michael Roberson,Male,35,South Korea,Korean,Web Development,5,75.0,3.2,False,0.72
FL250085,Austin Jenkins,Male,59,South Korea,Korean,AI,30,40.0,0.0,True,-1
FL250086,Brenda Green,Female,21,China,Mandarin,DevOps,2,100.0,2.6,True,0.85
FL250087,Samuel Pierce,Male,25,United States,English,Mobile Apps,2,75.0,3.7,False,-1
FL250088,Briana Smith,Female,38,Mexico,Spanish,Web Development,19,75.0,2.3,False,0.61
FL250089,Ronald Barrett,Male,57,Russia,Russian,AI,16,100.0,3.1,False,-1
FL250090,Matthew Smith,Male,32,India,Hindi,Mobile Apps,10,20.0,2.4,False,0.86
FL250091,Logan Huang,Male,21,Italy,Italian,DevOps,2,100.0,1.6,True,0.97
FL250092,Miranda Hutchinson,Female,57,Canada,English,Cybersecurity,18,50.0,2.4,True,0.63
FL250093,Paul Richardson,Male,53,China,Mandarin,UI/UX Design,21,100.0,-1,True,0.97
FL250094,Jose Jones,Male,35,Russia,Russian,Blockchain Development,3,30.0,3.8,True,0.81
FL250095,Denise Smith,Female,54,China,Mandarin,Machine Learning,17,20.0,1.7,False,0.69
FL250096,Shelby Mcmahon,Female,36,Italy,Italian,UI/UX Design,0,20.0,1.3,True,0.64
FL250097,Bethany Wright,Female,49,Spain,Spanish,Cybersecurity,25,50.0,5.0,False,0.77
FL250098,David Ortiz,Male,37,United States,English,Blockchain Development,17,20.0,3.3,False,0.96
