freelancer_ID,forename,surname,gender,age,country,language,primary_skill,years_of_experience,hourly_rate (USD),rating,is_active,client_satisfaction
FL250072,Thomas,Miller,M,60,Italy,Italian,DevOps,13,50,1,N,NULL
FL250073,Nicholas,Burton,M,40,United States,English,Web Development,9,100,4.5,Y,0.69
FL250074,Jorge,Riley,M,59,Australia,English,Blockchain Development,4,NULL,1.9,N,0.88
FL250075,Melvin,Harris,M,36,Italy,Italian,Machine Learning,14,100,3.7,N,NULL
FL250076,Jeremy,Meyer,M,32,India,Hindi,Data Analysis,NULL,30,1.9,Y,0.96
FL250077,Timothy,Lee,M,59,Australia,English,Artificial Intelligence,9,75,4,Y,0.96
FL250078,Diana,Bautista,F,54,Spain,Spanish,DevOps,32,40,1.8,N,NULL
FL250079,Leslie,Rodriguez,F,37,Canada,English,Graphic Design,9,NULL,0,Y,0.89
FL250080,Noah,Wiggins,M,54,India,Hindi,Machine Learning,21,100,4.6,N,NULL
FL250081,Bridget,Williams,F,33,Argentina,Spanish,UI/UX Design,12,100,3.6,N,0.63
FL250082,Veronica,Baker,F,25,Egypt,Arabic,Web Development,7,40,4.4,NULL,0.81
FL250083,Andrew,Avila,M,NULL,China,Mandarin,DevOps,3,40,4.6,N,0.74
FL250084,Michael,Roberson,M,35,South Korea,Korean,Web Development,5,75,3.2,N,0.72
FL250085,Austin,Jenkins,M,59,South Korea,Korean,Artificial Intelligence,30,40,0,Y,NULL
FL250086,Brenda,Green,F,21,China,Mandarin,DevOps,2,100,2.6,Y,0.85
FL250087,Samuel,Pierce,M,25,United States,English,Mobile Apps,2,75,3.7,N,NULL
FL250088,Briana,Smith,F,38,Mexico,Spanish,Web Development,19,75,2.3,N,0.61
FL250089,Ronald,Barrett,M,57,Russia,Russian,Artificial Intelligence,16,100,3.1,N,NULL
FL250090,Matthew,Smith,M,32,India,Hindi,Mobile Apps,10,20,2.4,N,0.86
FL250091,Logan,Huang,M,21,Italy,Italian,DevOps,2,100,1.6,Y,0.97
FL250092,Miranda,Hutchinson,F,57,Canada,English,Cybersecurity,18,50,2.4,Y,0.63
FL250093,Paul,Richardson,M,53,China,Mandarin,UI/UX Design,21,100,NULL,Y,0.97
FL250094,Jose,Jones,M,35,Russia,Russian,Blockchain Development,3,30,3.8,Y,0.81
FL250095,Denise,Smith,F,54,China,Mandarin,Machine Learning,17,20,1.7,N,0.69
FL250096,Shelby,Mcmahon,F,36,Italy,Italian,UI/UX Design,0,20,1.3,Y,0.64
FL250097,Bethany,Wright,F,49,Spain,Spanish,Cybersecurity,25,50,5,N,0.77
FL250098,David,Ortiz,M,37,United States,English,Blockchain Development,17,20,3.3,N,0.96
